personal_num,first_name,last_name,city,distance,status_hosing
801122,דניאל,כהן,תל אביב,34,
809315,נועם,לוי,חיפה,12,
802444,יוסף,פרץ,רחובות,58,
804911,אליה,בוזגלו,ראשון לציון,7,
808217,אביתר,דדון,אשקלון,45,
801905,איתן,במסלול,עפולה,21,
807337,עומר,חדד,ירושלים,63,
808881,מאור,אלמקייס,טבריה,29,
803112,אור,גולן,ראש העין,3,
804722,ידידיה,שמש,עכו,17,
801776,ליאור,דמארי,רמת גן,72,
803912,יונתן,ברגר,באר שבע,14,
806311,חיים,סרוסי,כפר סבא,41,
805019,אביתר,סויסה,נצרת עילית,33,
809003,אופיר,אלון,גדרה,11,
806774,תום,פרידמן,חולון,53,
807911,ליאם,אלקיים,יבנה,4,
803476,עמינדב,אלמוג,מגדל העמק,62,
805621,עומרי,אלימלך,חיפה,36,
809450,לוי,שוקרון,טבריה,19,
804001,אורי,מלכה,ראשון לציון,27,
808521,אביאל,סעדון,חדרה,73,
803201,דביר,יצחקי,לוד,44,
801700,גלעד,שלומי,אשדוד,55,
807144,יותם,ביטון,כפר יונה,32,
805612,רועי,חן,חיפה,9,
802981,אלעד,פרנקל,חולון,48,
807722,שחר,בן חמו,תל אביב,25,
803932,לירן,טויטו,ראש העין,38,
802001,מתן,הררי,נתניה,61,
806492,אביאל,כהנא,נהריה,16,
802555,אלחי,ברקוביץ,ירושלים,50,
804822,תומר,עקביא,רחובות,23,
809921,אסף,ברוך,אשקלון,76,
807982,עומר,וייס,בני ברק,13,
808111,יונתן,סוויסה,תל אביב,57,
804931,אורי,כהן,ראשון לציון,70,
805002,אבי,בוכריס,בית שמש,8,
803741,אלרועי,שיינפלד,מודיעין,66,
802770,עדיאל,כהן,חיפה,27,
806104,עמית,זוהר,אשדוד,42,
807659,רום,ברגרמן,טבריה,52,
805447,לירון,בן סעדון,תל אביב,15,
808771,אסף,דיין,אופקים,31,
801844,צבי,פישמן,עפולה,77,
802664,אלחנן,אלבז,קרית אתא,10,
804098,דוד,אלמליח,באר שבע,69,
809871,אופק,כהן,תל אביב,22,
807050,אלכסנדר,גוטמן,כפר סבא,64,
803954,בר,כחלון,אשקלון,49,
804700,אבישי,בוחבוט,ראשון לציון,12,
808661,אריאל,פיאמנטה,טבריה,46,
802915,אלעד,אלחדד,אשדוד,39,
809404,מאיר,בן-זאב,רחובות,51,
806771,יוסף,מרציאנו,קרית ביאליק,6,
805288,ארי,לופז,חיפה,40,
807733,ניסים,מימון,כפר יונה,24,
801337,אלעד,בוסקילה,רמת גן,58,
809115,אלישיב,קפלן,אשקלון,18,
802540,יותם,בן שושן,נתניה,43,
803880,שגיא,רוזנפלד,יבנה,52,
808294,אוראל,ישראלוב,מעלות,14,
801191,אלעד,רז,ירושלים,37,
802411,רני,ברעם,תל אביב,75,
804611,יואל,זבולוני,מודיעין,5,
807089,ארז,אשכנזי,אשדוד,68,
808511,אליהו,מור,חיפה,35,
803055,ארבל,סבן,ראשון לציון,30,
806003,דקל,אלול,טבריה,54,
804478,זיו,רפאלוב,רחובות,26,
801492,ברק,כהן,תל אביב,56,
806660,אורי,אלחדד,אשקלון,63,
802303,ישי,שלזינגר,גבעת שמואל,43,
808905,שחר,סעדון,רעננה,18,
806112,אלמוג,רוזנבלום,בת ים,33,
801999,גיא,טורג'מן,חולון,52,
802884,יניב,מלכה,ראש העין,27,
809799,רועי,אבוטבול,חיפה,78,
805561,יצחק,בוזגלו,טבריה,41,
801664,יאסר,נחמיאס,תל אביב,8,
807982,מירן,ברוש,רחובות,74,
804420,סהר,צופיה,אשדוד,16,
806319,מתניה,אבוקסיס,נהריה,69,
808244,שילה,כהן,ראשון לציון,20,
802972,אלרן,סויסה,אילת,91,
804385,תמיר,טויטו,מודיעין,23,
805204,אבשלום,אזולאי,עפולה,63,
807602,אביתר,בן דהן,רעננה,14,
803662,עוז,אלגזי,כפר יונה,39,
808070,דור,ששון,אשקלון,47,
801228,אורי,גרינברג,חיפה,58,
809444,שחף,אלמקיאס,תל אביב,73,
802133,אבשלום,יוספי,רחובות,32,
805771,רוני,כהן,אשדוד,11,
809220,עמרי,אסייג,בת ים,66,
801840,ינון,מזרחי,אשקלון,44,
807742,ליעד,ליבוביץ,ירושלים,28,
804600,אליהו,שביב,נהריה,36,
808988,אורן,מנחם,רמת גן,25,
